Opened,Name,City,Market,County
7/20/2007,Auburn Way S & M Street,Auburn,Washington\Tacoma,King
7/13/2007,Marysville Gateway Center,MARYSVILLE,Washington\Seattle,Snohomish
7/7/2007,Lynden Retail - Lynden,Lynden,Washington\Bellingham,Whatcom
6/29/2007,303 River Rd - Puyallup,Puyallup,Washington\Tacoma,Pierce
6/29/2007,Lakewood Crossing - Marysville,Marysville,Washington\Seattle,Snohomish
6/15/2007,Pacific hwy & S 240th,Kent,Washington\Tacoma,King
6/8/2007,112th & 4th Plain- Vancouver,Vancouver,Washington\SouthwesternWashington,Clark
6/1/2007,Ellingson Rd- Auburn,Auburn,Washington\Tacoma,King
6/1/2007,Plaza 525- Mukilteo,Mukilteo,Washington\Seattle,Snohomish
5/31/2007,Duvall Commons- Duvall,Duvall,Washington\Seattle,King
5/25/2007,216 W Manson Hwy,Chelan,Washington\WashingtonRemoteMarkets,Chelan
5/25/2007,North Bend & Mt Si- North Bend,North Bend,Washington\Seattle,King
5/11/2007,212th & W. Valley Hwy,Kent,Washington\Tacoma,King
3/20/2007,Alderwood Mall Kiosk,Lynnwood,Washington\Seattle,Snohomish
3/16/2007,"North Juanita - Kirkland, WA",Kirkland,Washington\Seattle,King
3/2/2007,"Capitol Blvd & Trosper St, Tumwat",Tumwater,Washington\Olympia,Thurston
1/18/2007,Downtown Kirkland,Kirkland,Washington\Seattle,King
12/20/2006,35th & Fauntleroy,Seattle,Washington\Seattle,King
12/12/2006,Burlington Retail-George Hopper Rd,Burlington,Washington\Bellingham,Whatcom
12/8/2006,Bridge Street Plaza- Clarkston,Clarkston,Washington\SoutheasternWashington,Asotin
11/22/2006,Merlot Dr & Wine Country Rd - Pross,Prosser,Washington\CentralWashington,Benton
11/21/2006,Center St. & Mullen-Tacoma,Tacoma,Washington\Tacoma,Pierce
11/21/2006,Redmond Ridge,Redmond,Washington\Seattle,King
10/13/2006,"Belfair Valley Plaza-Belfair, WA",Belfair,Washington\Tacoma,Mason
10/13/2006,Enumclaw,Enumclaw,Washington\Seattle,King
10/6/2006,Cooper Point Village- Olympia,Olympia,Washington\Olympia,Thurston
9/22/2006,168th and Highway 99-Lynnwood,Lynnwood,Washington\Seattle,Snohomish
8/11/2006,Sequim Village Market Place,Sequim,Washington\WashingtonRemoteMarkets,Clallam
7/17/2006,Two Union Square,Seattle,Washington\Seattle,King
7/14/2006,Federal Way Crossing,Federal Way,Washington\Tacoma,King
6/30/2006,SE 272nd St & 172nd Ave SE,Covington,Washington\Seattle,King
6/30/2006,Downtown Edmonds,Edmonds,Washington\Seattle,Snohomish
6/30/2006,Hwy 99 & 185th- Shoreline,Shoreline,Washington\Seattle,King
6/16/2006,Galbreath Way & Weber,Ritzville,Washington\CentralWashington,Adams
6/9/2006,W. Sunset Hwy & S Hayford Rd,Spokane,Washington\Spokane,Spokane
6/9/2006,W. Francis & N. Ash,Spokane,Washington\Spokane,Spokane
5/4/2006,Vancouver Park Place- Vancouver,Vancouver,Washington\SouthwesternWashington,Clark
4/14/2006,N. Wenatchee Ave & Maiden Lane,Wenatchee,Washington\CentralWashington,Chelan
3/31/2006,Eastgate-Bellevue,Bellevue,Washington\Seattle,King
2/27/2006,1202 Wishkah St- Aberdeen,Aberdeen,Washington\Olympia,Aberdeenshire
2/9/2006,Gage & Keene Rd,Richland,Washington\SoutheasternWashington,Benton
2/3/2006,Penn Plaza- Moses Lake,Moses Lake,Washington\CentralWashington,Grant
12/9/2005,Columbia Tech Center,Vancouver,Washington\SouthwesternWashington,Clark
12/9/2005,12101 Mill Plain Blvd- Vancouver,Vancouver,Washington\SouthwesternWashington,Clark
12/2/2005,132nd Ave SE & SE Kent Kangley Rd,Kent,Washington\Tacoma,King
11/23/2005,Benson Plaza,Renton,Washington\Seattle,King
11/18/2005,Interurban Ave,Tukwila,Washington\Seattle,King
10/14/2005,Cheney Plaza,Cheney,Washington\Spokane,Spokane
10/1/2005,SE 256th Street-Kent,Kent,Washington\Tacoma,King
5/6/2005,NE Centerpointe Dr - Vancouver,Vancouver,Washington\SouthwesternWashington,Clark
4/1/2005,4637 Sunset Blvd.,Renton,Washington\Seattle,King
1/1/2005,SE 27th & 76th - Mercer Island,Mercer Island,Washington\Seattle,King
12/9/2004,Sprague & Pine,Spokane,Washington\Spokane,Spokane
8/1/2003,Rose Hill - Kirkland,Kirkland,Washington\Seattle,King
6/29/2001,NE 139th & 20th - Salmon Creek,Vancouver,Washington\SouthwesternWashington,Clark
5/26/2001,Hazel Dell,Vancouver,Washington\SouthwesternWashington,Clark
5/17/2001,Bellevue,Bellevue,Washington\Seattle,King
3/30/2001,Battle Ground,Battle Ground,Washington\SouthwesternWashington,Clark
12/16/2000,Heritage Place,Vancouver,Washington\SouthwesternWashington,Clark
7/2/1999,162nd & 18th,Vancouver,Washington\SouthwesternWashington,Clark
5/25/1994,Commerce Center,Vancouver,Washington\SouthwesternWashington,Clark
8/30/1991,Vancouver Mall,Vancouver,Washington\SouthwesternWashington,Clark
